id,estado
1,0.999999517
2,0.999999436
3,0.999994888
4,2.11E-06
5,0.09987767
6,0.007695781
7,1
8,1
9,1
10,0.999999916
11,1
12,0.010219742
13,8.41E-10
14,0.995111726
15,1.45E-08
16,0.002294213
17,0.999998404
18,1.54E-06
19,1.80E-06
20,0.992799231
21,0.001014333
22,1.60E-06
23,1
24,1
25,0.999999998
26,0.000840271
27,0.001049395
28,3.07E-05
29,6.85E-07
30,0.999999992
31,0.999999673
32,0.999997374
33,0.000127523
34,3.44E-06
35,1.38E-06
36,0.999999996
37,0.999999995
38,0.999999999
39,0.999946159
40,2.10E-06
41,0.000484018
42,0.002559649
43,0.998111926
44,0.778020627
45,0.538677681
46,0.000626527
47,0.999999947
48,1
49,0.995279525
50,0.00133314
51,0.00500287
52,1
53,1
54,0.004246215
55,2.00E-05
56,0.999999982
57,1
58,1
59,1
60,1
61,1
62,1.51E-05
63,1.07E-05
64,1
65,1
66,1
67,2.14E-05
68,9.05E-05
69,1
70,1
71,0.999999903
72,1.24E-05
73,1
74,0.963701614
75,0.999417457
76,1
77,1.50E-05
78,6.27E-05
79,0.999999988
80,0.999999987
81,5.80E-05
82,0.999999904
83,1
84,1
85,9.58E-05
86,6.91E-06
87,1
88,1.97E-05
89,1.31E-05
90,1
91,1
92,1
93,1
94,1
95,3.98E-06
96,0.002453511
97,0.971737315
98,0.971855646
99,0.137931427
100,0.003773084
101,0.000769755
102,0.999618709
103,0.997334582
104,0.999994413
105,0.000857221
106,1.85E-08
107,1
108,1
109,0.000156395
110,4.02E-05
111,1
112,0.000205606
113,3.25E-05
114,1
115,1
116,1
117,6.69E-06
118,2.94E-06
119,1
120,1
121,1.59E-06
122,1.66E-09
123,1
124,1
125,1
126,1
127,1
128,3.14E-09
129,3.88E-05
130,0.999999973
131,1
132,1.14E-05
133,3.54E-06
134,0.999973175
135,0.999991902
136,0.999851261
137,2.20E-05
138,1.22E-05
139,1
140,1
141,1
142,1
143,0.002848381
144,0.000865813
145,0.994180786
146,0.999953239
147,0.999976946
148,0.999999619
149,0.999999989
150,0.580137584
151,0.000510379
152,0.008304353
153,1
154,0.003928452
155,2.29E-06
156,1
157,1
158,0.856649878
159,1
160,1.97E-06
161,1.24E-05
162,1
163,1
164,1
165,4.58E-07
166,0.002915022
167,1
168,1
169,1
170,1
171,0.004632532
172,1.53E-08
173,1
174,0.999921836
175,2.59E-08
176,0.000247595
177,0.999999745
178,0.000335434
179,1.29E-06
180,0.999999838
181,0.99999998
182,1
183,0.223753332
184,6.28E-07
185,3.99E-06
186,1
