Id,estado
1,0.000327377
2,4.51E-05
3,0.000100115
4,0.994423807
5,0.166254371
6,0.043265194
7,2.64E-05
8,8.62E-05
9,7.16E-05
10,0.000114564
11,0.000144633
12,0.70761317
13,0.977344453
14,0.345591933
15,0.988279223
16,0.94610256
17,0.236933991
18,0.984934926
19,0.990497351
20,0.488010168
21,0.993827999
22,0.989892125
23,0.000233729
24,0.000948017
25,0.000198709
26,0.944838703
27,0.946781695
28,0.973078251
29,0.999319077
30,0.000533146
31,0.000968064
32,0.003306212
33,0.999343693
34,0.999389648
35,0.999234796
36,0.000171924
37,0.000183798
38,0.000246679
39,0.002003458
40,0.999384761
41,0.95953238
42,0.956399322
43,0.005011566
44,0.098262198
45,0.439945877
46,0.992038727
47,0.00019241
48,0.000141644
49,0.047514435
50,0.995295107
51,0.925008297
52,1.37E-05
53,2.24E-05
54,0.915858865
55,0.999815047
56,0.829857826
57,5.16E-05
58,3.24E-05
59,4.67E-05
60,4.54E-05
61,4.65E-05
62,0.999786675
63,0.999885917
64,4.55E-05
65,4.26E-05
66,0.000104021
67,0.999409795
68,0.998521507
69,0.000363719
70,0.000249162
71,9.05E-05
72,0.999507427
73,0.570239067
74,0.756682217
75,0.001928348
76,0.009945626
77,0.997365177
78,0.987259328
79,2.98E-05
80,0.003222598
81,0.984474897
82,0.011357686
83,4.96E-05
84,9.69E-05
85,0.989192784
86,0.989325762
87,5.82E-05
88,0.988564909
89,0.946868598
90,0.000109862
91,4.93E-05
92,8.60E-05
93,7.98E-05
94,0.00139282
95,0.981103659
96,0.998931229
97,0.046963885
98,0.028917262
99,0.006006445
100,0.997224331
101,0.967696726
102,0.550921917
103,0.005611526
104,0.002099961
105,0.955063164
106,0.992492497
107,5.37E-05
108,0.627913892
109,0.997735977
110,0.998999417
111,6.06E-05
112,0.992175758
113,0.999301791
114,0.020594321
115,4.17E-05
116,0.000360111
117,0.996690154
118,0.990409136
119,0.000157179
120,0.004280031
121,0.987356782
122,0.999226928
123,0.000239415
