"","1"
"1",0.00132997539771864
"2",0.000814733773799389
"3",0.00173980271125396
"4",0.989178324067302
"5",0.608635470839927
"6",0.676442617667813
"7",1.86327414892756e-06
"8",8.17436484815751e-06
"9",3.35030250625414e-05
"10",3.9934876396632e-05
"11",6.97565265299987e-06
"12",0.926835335523189
"13",0.999950470287653
"14",0.667812847652913
"15",0.999838575107655
"16",0.971074501223485
"17",0.00154918424987171
"18",0.989377780887433
"19",0.999551669237975
"20",0.242819935688737
"21",0.968334153453396
"22",0.999609477821426
"23",6.92922302060543e-06
"24",1.43503580565848e-05
"25",4.89194011964464e-05
"26",0.978128487765252
"27",0.983711241130011
"28",0.996310888289211
"29",0.997603831114064
"30",9.89737290308377e-05
"31",0.000672893219907647
"32",0.00490002054561758
"33",0.99119354364565
"34",0.996174101639247
"35",0.997222887852489
"36",0.00012698798424476
"37",0.000135456679079565
"38",1.25566257697874e-05
"39",0.0128037766397009
"40",0.996277788141749
"41",0.982428622415054
"42",0.977640369186743
"43",0.12581793831789
"44",0.617070746170361
"45",0.893234992550414
"46",0.981439565801895
"47",0.0009932617585459
"48",1.87771335488134e-06
"49",0.77969595519681
"50",0.979335786961293
"51",0.978597699586191
"52",2.14854849728351e-07
"53",2.15849009905472e-06
"54",0.976922667863349
"55",0.999936073574295
"56",0.901406252885135
"57",1.50547020375775e-06
"58",1.06884641711371e-07
"59",3.01090426744294e-08
"60",3.25688841069777e-08
"61",2.4010527462141e-06
"62",0.999946789618866
"63",0.999940666640721
"64",1.48509244607463e-08
"65",9.12338237219948e-08
"66",3.91683267074573e-09
"67",0.999945938858313
"68",0.999975308464417
"69",1.35475246343646e-07
"70",2.15837870415816e-08
"71",3.35313788194246e-06
"72",0.999995631316603
"73",0.940271414440076
"74",0.997311509890911
"75",0.00307424140616646
"76",0.0975452243910304
"77",0.999992156216019
"78",0.99725735147006
"79",5.80221359517451e-06
"80",0.272239484621186
"81",0.998889597046909
"82",0.0126966277676374
"83",1.73466955594718e-07
"84",2.63222407848864e-06
"85",0.994527682386078
"86",0.994198686646944
"87",5.76686531228033e-08
"88",0.991122570201406
"89",0.996731108459297
"90",1.15733048546049e-09
"91",1.94956577843589e-09
"92",1.13284353310545e-09
"93",1.00165960221094e-09
"94",5.4280819414979e-06
"95",0.997916776839439
"96",0.930499603426726
"97",0.156834505429009
"98",0.15323758495573
"99",0.435974957699326
"100",0.91803096324103
"101",0.988116354207094
"102",0.576744037067951
"103",0.105587181392026
"104",0.0319121074857339
"105",0.98896420605053
"106",0.999998672254576
"107",1.21642676957082e-08
"108",0.85796155234274
"109",0.999981569290983
"110",0.999658241547462
"111",1.82682156642434e-07
"112",0.998426172798479
"113",0.999464408097034
"114",5.06063492500066e-05
"115",6.33609374704435e-08
"116",1.11880479428954e-05
"117",0.999089356922169
"118",0.999200933643143
"119",2.41743892221462e-10
"120",0.000344542283780547
"121",0.999584752905348
"122",0.999927210203167
"123",2.26530284828002e-06
"124",1.88654978539087e-05
"125",1.22014758635113e-05
"126",6.39508254103819e-05
"127",0.000547457654951465
"128",0.999817338616186
"129",0.993366433648902
"130",0.0309769753694166
"131",0.000350688529735344
"132",0.998076626318384
"133",0.987164847206539
"134",0.000670868917989446
"135",0.000553657968106243
"136",0.00222401479937498
"137",0.94498311287776
"138",0.999031219974612
"139",1.81900706726243e-07
"140",1.51699075138944e-05
"141",1.0384402581766e-05
"142",1.55661241155204e-05
"143",0.951572265612546
"144",0.982252391128683
"145",0.590480481296758
"146",0.0134848729729222
"147",0.010829866074586
"148",0.000505504876223863
"149",3.94059929804247e-05
"150",0.1839562288767
"151",0.983156602527841
"152",0.995980335942163
"153",5.06276926502217e-07
"154",0.995570376929134
"155",0.999736788348365
"156",8.40285868210506e-10
"157",3.42337588118361e-07
"158",0.0405878591901832
"159",5.15729939801598e-09
"160",0.999864342692364
"161",0.998990858140443
"162",4.85341983854966e-09
"163",4.58773590260833e-10
"164",3.67113210691179e-07
"165",0.999787976070512
"166",0.99374588452792
"167",1.50976321356452e-07
"168",2.5278536245338e-07
"169",2.29322455999585e-08
"170",1.30485962285006e-05
"171",0.992940351431058
"172",0.999985999081403
"173",1.12336606817513e-06
"174",1.40546918231133e-05
"175",0.999978598456473
"176",0.986879102613576
"177",0.000146402182124061
"178",0.980420964654706
"179",0.994851219975232
"180",0.000953663365649161
"181",0.00100664843058792
"182",0.000173627053600135
"183",0.178208341132722
"184",0.996024289528563
"185",0.994439761170182
"186",3.53886927374673e-07
"187",0.993673637889361
"188",0.993113925529596
"189",8.50173464855682e-05
"190",2.63228696408311e-07
"191",0.988798664522205
"192",0.996389905369498
"193",0.000238764623414906
"194",0.949257651042514
"195",0.996660284762692
"196",1.20959781620043e-05
"197",0.00110548698580737
"198",0.964870028910826
"199",0.995191423381348
"200",3.47915510022482e-07
"201",2.02616590120667e-05
"202",0.000134444057074878
