Id,estado
1,0.014725757
2,0.025799902
3,0.009121025
4,0.96918273
5,0.133611143
6,0.04692756
7,0.000235901
8,0.000437619
9,0.000175473
10,0.000313314
11,0.002780445
12,0.925470412
13,0.988233447
14,0.173416644
15,0.980874658
16,0.361731619
17,0.037196491
18,0.588075876
19,0.970414579
20,0.291019946
21,0.700692594
22,0.968371272
23,0.00234502
24,0.031916384
25,0.007621463
26,0.908441424
27,0.95687592
28,0.967149079
29,0.951938212
30,0.004015178
31,0.003437295
32,0.010551968
33,0.941841662
34,0.983430266
35,0.980251849
36,0.00167137
37,0.001641381
38,0.001713233
39,0.087632708
40,0.986810088
41,0.95064342
42,0.94398284
43,0.173340246
44,0.771759212
45,0.980133176
46,0.969810963
47,0.006066616
48,0.001393545
49,0.669375598
50,0.986898422
51,0.95937705
52,0.00105766
53,0.00077362
54,0.855906844
55,0.77786094
56,0.052874941
57,0.002456411
58,0.000167054
59,8.43E-05
60,6.91E-05
61,0.000131391
62,0.627372384
63,0.795237243
64,5.79E-05
65,2.97E-05
66,4.82E-05
67,0.366899341
68,0.981780887
69,0.013332128
70,0.000966226
71,0.001234358
72,0.993831754
73,0.577365279
74,0.78237468
75,0.356780857
76,0.091513477
77,0.991673529
78,0.874891818
79,0.003490046
80,0.042977218
81,0.861288488
82,0.004251039
83,0.001347034
84,0.007437766
85,0.815468907
86,0.871731341
87,0.000507323
88,0.849862337
89,0.631148279
90,0.000323334
91,0.000304592
92,0.000303421
93,0.000305293
94,0.002025671
95,0.267624497
96,0.847987711
97,0.102436662
98,0.074715108
99,0.079581909
100,0.86869359
101,0.92689997
102,0.764726818
103,0.239573702
104,0.115725577
105,0.858093858
106,0.862340271
107,0.001052818
108,0.060216311
109,0.9237656
110,0.866846442
111,0.002928664
112,0.394425392
113,0.926185548
114,0.003753671
115,0.000237736
116,0.004255359
117,0.364332259
118,0.943554699
119,0.000405948
120,0.002824306
121,0.925908625
122,0.94047159
123,0.016829364
124,0.035798803
125,0.012398594
126,0.207066
127,0.46024397
128,0.964840174
129,0.949380457
130,0.391158909
131,0.006367045
132,0.868290663
133,0.348926932
134,0.036029302
135,0.038383972
136,0.036696173
137,0.35243082
138,0.958321095
139,0.000907974
140,0.000935609
141,0.001393748
142,0.00259391
143,0.709013939
144,0.973765373
145,0.427449882
146,0.004628444
147,0.002820265
148,0.001123096
149,0.003040137
150,0.059197314
151,0.956505179
152,0.786299884
